iod_xml_id	entry_index	entry_kind	ie_name	component_name	component_section_id	usage	usage_condition_text	fg_scope	source_table_xml_id
sect_A.2	0	module	Patient	Patient	sect_C.7.1.1	M		none	table_A.2-1
sect_A.2	1	module	Patient	Clinical Trial Subject	sect_C.7.1.3	U		none	table_A.2-1
sect_A.2	2	module	Study	General Study	sect_C.7.2.1	M		none	table_A.2-1
sect_A.2	3	module	Study	Patient Study	sect_C.7.2.2	U		none	table_A.2-1
sect_A.2	4	module	Study	Clinical Trial Study	sect_C.7.2.3	U		none	table_A.2-1
sect_A.2	5	module	Series	General Series	sect_C.7.3.1	M		none	table_A.2-1
sect_A.2	6	module	Series	CR Series	sect_C.8.1.1	M		none	table_A.2-1
sect_A.2	7	module	Series	Clinical Trial Series	sect_C.7.3.2	U		none	table_A.2-1
sect_A.2	8	module	Equipment	General Equipment	sect_C.7.5.1	M		none	table_A.2-1
sect_A.2	9	module	Acquisition	General Acquisition	sect_C.7.10.1	M		none	table_A.2-1
sect_A.2	10	module	Image	General Image	sect_C.7.6.1	M		none	table_A.2-1
sect_A.2	11	module	Image	General Reference	sect_C.12.4	U		none	table_A.2-1
sect_A.2	12	module	Image	Image Pixel	sect_C.7.6.3	M		none	table_A.2-1
sect_A.2	13	module	Image	Contrast/Bolus	sect_C.7.6.4	C	Required if contrast media was used in this image	none	table_A.2-1
sect_A.2	14	module	Image	Display Shutter	sect_C.7.6.11	U		none	table_A.2-1
sect_A.2	15	module	Image	Device	sect_C.7.6.12	U		none	table_A.2-1
sect_A.2	16	module	Image	Specimen	sect_C.7.6.22	U		none	table_A.2-1
sect_A.2	17	module	Image	CR Image	sect_C.8.1.2	M		none	table_A.2-1
sect_A.2	18	module	Image	Overlay Plane	sect_C.9.2	U		none	table_A.2-1
sect_A.2	19	module	Image	Modality LUT	sect_C.11.1	U		none	table_A.2-1
sect_A.2	20	module	Image	VOI LUT	sect_C.11.2	U		none	table_A.2-1
sect_A.2	21	module	Image	SOP Common	sect_C.12.1	M		none	table_A.2-1
sect_A.2	22	module	Image	Common Instance Reference	sect_C.12.2	U		none	table_A.2-1
