uid_value	sop_class_name	sop_class_keyword	iod_xml_id	iod_title	part04_section_id	retired
1.2.840.10008.5.1.4.1.1.1	Computed Radiography Image Storage	ComputedRadiographyImageStorage	sect_A.2	Computed Radiography Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.1.1	Digital X-Ray Image Storage - For Presentation	DigitalXRayImageStorageForPresentation	sect_A.26	Digital X-Ray Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.1.1.1	Digital X-Ray Image Storage - For Processing	DigitalXRayImageStorageForProcessing	sect_A.26	Digital X-Ray Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.1.2	Digital Mammography X-Ray Image Storage - For Presentation	DigitalMammographyXRayImageStorageForPresentation	sect_A.27	Digital Mammography X-Ray Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.1.2.1	Digital Mammography X-Ray Image Storage - For Processing	DigitalMammographyXRayImageStorageForProcessing	sect_A.27	Digital Mammography X-Ray Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.1.3	Digital Intra-Oral X-Ray Image Storage - For Presentation	DigitalIntraOralXRayImageStorageForPresentation	sect_A.28	Digital Intra-Oral X-Ray Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.1.3.1	Digital Intra-Oral X-Ray Image Storage - For Processing	DigitalIntraOralXRayImageStorageForProcessing	sect_A.28	Digital Intra-Oral X-Ray Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.2	CT Image Storage	CTImageStorage	sect_A.3	CT Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.2.1	Enhanced CT Image Storage	EnhancedCTImageStorage	sect_A.38.1	Enhanced CT Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.2.2	Legacy Converted Enhanced CT Image Storage	LegacyConvertedEnhancedCTImageStorage	sect_A.70	Legacy Converted Enhanced CT Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.3.1	Ultrasound Multi-frame Image Storage	UltrasoundMultiFrameImageStorage	sect_A.7	Ultrasound Multi-frame Image IOD	sect_B.5	N
