component_section_id	context_key	context_name	context_kind	is_root	is_recursive
sect_C.10.10	table_C.10-11	Waveform Annotation Module Attributes	table	Y	N
sect_C.10.10	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.10.10	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.10.10	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.10.11	table_C.10-12	Graphic Group Module Attributes	table	Y	N
sect_C.10.4	table_C.10-4	Displayed Area Module Attributes	table	Y	N
sect_C.10.4	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.10.4	table_10-3	Image SOP Instance Reference Macro Attributes	table	N	N
sect_C.10.5	table_C.10-5	Graphic Annotation Module Attributes	table	Y	N
sect_C.10.5	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.10.5	table_10-3	Image SOP Instance Reference Macro Attributes	table	N	N
sect_C.10.5	table_C.10-5a	Text Style Sequence Macro Attributes	table	N	N
sect_C.10.5	table_C.10-5b	Line Style Sequence Macro Attributes	table	N	N
sect_C.10.5	table_C.10-5c	Fill Style Sequence Macro Attributes	table	N	N
sect_C.10.6	table_C.10-6	Spatial Transformation Module Attributes	table	Y	N
sect_C.10.7	table_C.10-7	Graphic Layer Module Attributes	table	Y	N
sect_C.10.8	table_C.10-8	Waveform Identification Module Attributes	table	Y	N
sect_C.10.8	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.10.8	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.10.8	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.10.8	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.10.9	table_C.10-9	Waveform Module Attributes	table	Y	N
sect_C.10.9	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.10.9	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.10.9	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.10.9	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.10.9	table_C.10.12-1	Waveform Filter Characteristics Macro Attributes	table	N	N
sect_C.10.9	table_C.10.13-1	Waveform Filter Lookup Table Macro Attributes	table	N	N
sect_C.11.1	table_C.11-1	Modality LUT Module Attributes	table	Y	N
sect_C.11.1	table_C.11-1b	Modality LUT Macro Attributes	table	N	N
sect_C.11.10	table_C.11.10-1	Presentation State Identification Module Attributes	table	Y	N
sect_C.11.10	table_10-1	Person Identification Macro Attributes	table	N	N
sect_C.11.10	table_10-12	Content Identification Macro Attributes	table	N	N
sect_C.11.10	table_10.9.3-1	Content Creator Macro Attributes	table	N	N
sect_C.11.10	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.11.10	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.11.10	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.11.11	table_C.11.11-1	Presentation State Relationship Module Attributes	table	Y	N
sect_C.11.11	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.11.11	table_10-3	Image SOP Instance Reference Macro Attributes	table	N	N
sect_C.11.11	table_C.11.11-1b	Presentation State Relationship Macro Attributes	table	N	N
sect_C.11.12	table_C.11.12-1	Presentation State Shutter Module Attributes	table	Y	N
sect_C.11.13	table_C.11.13-1	Presentation State Mask Module Attributes	table	Y	N
sect_C.11.14	table_C.11.14-1	Presentation State Blending Module Attributes	table	Y	N
sect_C.11.14	table_10-11	SOP Instance Reference Macro Attributes	table	N	N
sect_C.11.14	table_10-3	Image SOP Instance Reference Macro Attributes	table	N	N
sect_C.11.14	table_8.8-1	Code Sequence Macro Attributes	table	N	N
sect_C.11.14	table_8.8-1a	Basic Code Sequence Macro Attributes	table	N	N
sect_C.11.14	table_8.8-1b	Enhanced Code Sequence Macro Attributes	table	N	N
sect_C.11.14	table_C.11-1b	Modality LUT Macro Attributes	table	N	N
sect_C.11.14	table_C.11-2b	VOI LUT Macro Attributes	table	N	N
sect_C.11.14	table_C.11.11-1b	Presentation State Relationship Macro Attributes	table	N	N
sect_C.11.14	table_C.17-3	Hierarchical SOP Instance Reference Macro Attributes	table	N	N
sect_C.11.14	table_C.17-3a	Hierarchical Series Reference Macro Attributes	table	N	N
sect_C.11.15	table_C.11.15-1	ICC Profile Module Attributes	table	Y	N
sect_C.11.16	table_C.11.16-1	Structured Display Module Attributes	table	Y	N
sect_C.11.16	table_10-1	Person Identification Macro Attributes	table	N	N
sect_C.11.16	table_10-12	Content Identification Macro Attributes	table	N	N
