component_section_id	from_context_key	sequence_tag	next_context_key	transition_condition_text	push_path	is_recursive
sect_C.10.10	table_8.8-1	00080121	table_8.8-1a	Include	Y	N
sect_C.10.10	table_8.8-1	00080121	table_8.8-1b	Include	Y	N
sect_C.10.10	table_8.8-1	0040A043	table_8.8-1a	Include	Y	N
sect_C.10.10	table_C.10-11	004008EA	table_8.8-1	Include B .	Y	N
sect_C.10.10	table_C.10-11	0040A043	table_8.8-1	Include Baseline CID may be defined in IOD definition.	Y	N
sect_C.10.10	table_C.10-11	0040A168	table_8.8-1	Include Baseline CID may be defined in IOD definition.	Y	N
sect_C.10.10	table_C.10-11	0040A195	table_8.8-1	Include Baseline CID may be defined in IOD definition.	Y	N
sect_C.10.4	table_10-3	00081140	table_10-11	Include	Y	N
sect_C.10.4	table_C.10-4	00081140	table_10-3	Include	Y	N
sect_C.10.5	table_10-3	00081140	table_10-11	Include	Y	N
sect_C.10.5	table_C.10-5	00081140	table_10-3	Include	Y	N
sect_C.10.5	table_C.10-5	00700008	table_C.10-5a	Include See .	Y	N
sect_C.10.5	table_C.10-5	00700009	table_C.10-5b	Include See .	Y	N
sect_C.10.5	table_C.10-5	00700009	table_C.10-5c	Include See .	Y	N
sect_C.10.5	table_C.10-5	00700209	table_C.10-5a	Include See .	Y	N
sect_C.10.5	table_C.10-5	00700209	table_C.10-5b	Include See .	Y	N
sect_C.10.5	table_C.10-5	00700209	table_C.10-5c	Include in this Module, Attribute Fill Style Sequence (0070,0233) is Type 1C. Required if Graphic Filled (0070,0024) equals Y. See .	Y	N
sect_C.10.8	table_8.8-1	00080121	table_8.8-1a	Include	Y	N
sect_C.10.8	table_8.8-1	00080121	table_8.8-1b	Include	Y	N
sect_C.10.8	table_8.8-1	0040A170	table_8.8-1a	Include	Y	N
sect_C.10.8	table_C.10-8	0008114A	table_10-11	Include	Y	N
sect_C.10.8	table_C.10-8	0040A170	table_8.8-1	Include D for referenced waveforms.	Y	N
sect_C.10.9	table_8.8-1	00080121	table_8.8-1a	Include	Y	N
sect_C.10.9	table_8.8-1	00080121	table_8.8-1b	Include	Y	N
sect_C.10.9	table_8.8-1	003A0208	table_8.8-1a	Include	Y	N
sect_C.10.9	table_C.10-9	003A0208	table_8.8-1	Include . Baseline CID determined by IOD specialization	Y	N
sect_C.10.9	table_C.10-9	003A0209	table_8.8-1	Include . Baseline CID determined by IOD specialization	Y	N
sect_C.10.9	table_C.10-9	003A020A	table_10-11	Include	Y	N
sect_C.10.9	table_C.10-9	003A0211	table_8.8-1	Include D .	Y	N
sect_C.10.9	table_C.10-9	003A0318	table_C.10.12-1	Include	Y	N
sect_C.10.9	table_C.10-9	003A0319	table_C.10.12-1	Include	Y	N
sect_C.10.9	table_C.10-9	003A0320	table_C.10.13-1	Include	Y	N
sect_C.10.9	table_C.10-9	003A0321	table_C.10.12-1	Include	Y	N
sect_C.10.9	table_C.10.12-1	003A0325	table_8.8-1	Include . B .	Y	N
sect_C.10.9	table_C.10.12-1	003A0328	table_8.8-1	Include . B .	Y	N
sect_C.10.9	table_C.10.12-1	003A032A	table_C.10.13-1	Include	Y	N
sect_C.10.9	table_C.10.13-1	003A032C	table_8.8-1	Include . B .	Y	N
sect_C.10.9	table_C.10.13-1	003A032D	table_8.8-1	Include . B .	Y	N
sect_C.11.1	table_C.11-1		table_C.11-1b	Include	N	N
sect_C.11.10	table_10-1	00080082	table_8.8-1	Include B .	Y	N
sect_C.11.10	table_10-1	00081041	table_8.8-1	Include B .	Y	N
sect_C.11.10	table_10-1	00401101	table_8.8-1	Include No Baseline CID is defined.	Y	N
sect_C.11.10	table_10-12	00080006	table_8.8-1	Include D .	Y	N
sect_C.11.10	table_10-12	0040A043	table_10.9.3-1	Include	Y	N
sect_C.11.10	table_10-12	0040A043	table_8.8-1	Include No Baseline CID is defined.	Y	N
sect_C.11.10	table_10.9.3-1	00700086	table_10-1	Include	Y	N
sect_C.11.10	table_8.8-1	00080121	table_8.8-1a	Include	Y	N
sect_C.11.10	table_8.8-1	00080121	table_8.8-1b	Include	Y	N
sect_C.11.10	table_8.8-1	0040A043	table_8.8-1a	Include	Y	N
sect_C.11.10	table_C.11.10-1		table_10-12	Include The Content Label Value may be used by an application as a Defined Term in order to imply some grouping of different presentation states, i.e., it may have the same value for different Presentation State Instances that share some common concept.	N	N
sect_C.11.11	table_10-3	00081140	table_10-11	Include	Y	N
